Experiment,Condition,Biome,dsc,scv,sbv,sci,cap,Left,Perc.Accom
atmosphereAnalysis,Landed@Duna,Craters,10,1,8,0,192,192,0
atmosphereAnalysis,Landed@Duna,Highlands,10,1,8,0,192,192,0
atmosphereAnalysis,Landed@Duna,Lowlands,10,1,8,0,192,192,0
atmosphereAnalysis,Landed@Duna,Midlands,10,1,8,0,192,192,0
atmosphereAnalysis,Landed@Duna,Poles,10,1,8,0,192,192,0
atmosphereAnalysis,FlyingLow@Duna,Craters,10,1,5,0,120,120,0
atmosphereAnalysis,FlyingLow@Duna,Highlands,10,1,5,0,120,120,0
atmosphereAnalysis,FlyingLow@Duna,Lowlands,10,1,5,0,120,120,0
atmosphereAnalysis,FlyingLow@Duna,Midlands,10,1,5,0,120,120,0
atmosphereAnalysis,FlyingLow@Duna,Poles,10,1,5,0,120,120,0
atmosphereAnalysis,FlyingHigh@Duna,Craters,10,1,5,0,120,120,0
atmosphereAnalysis,FlyingHigh@Duna,Highlands,10,1,5,0,120,120,0
atmosphereAnalysis,FlyingHigh@Duna,Lowlands,10,1,5,0,120,120,0
atmosphereAnalysis,FlyingHigh@Duna,Midlands,10,1,5,0,120,120,0
atmosphereAnalysis,FlyingHigh@Duna,Poles,10,1,5,0,120,120,0
atmosphereAnalysis,Landed@Eve,ExplodiumSea,10,1,8,0,192,192,0
atmosphereAnalysis,Landed@Eve,Highlands,10,1,8,0,192,192,0
atmosphereAnalysis,Landed@Eve,ImpactEjecta,10,1,8,0,192,192,0
atmosphereAnalysis,Landed@Eve,Lowlands,10,1,8,0,192,192,0
atmosphereAnalysis,Landed@Eve,Midlands,10,1,8,0,192,192,0
atmosphereAnalysis,Landed@Eve,Peaks,10,1,8,0,192,192,0
atmosphereAnalysis,Landed@Eve,Poles,10,1,8,0,192,192,0
atmosphereAnalysis,FlyingLow@Eve,ExplodiumSea,10,1,6,0,144,144,0
atmosphereAnalysis,FlyingLow@Eve,Highlands,10,1,6,0,144,144,0
atmosphereAnalysis,FlyingLow@Eve,ImpactEjecta,10,1,6,0,144,144,0
atmosphereAnalysis,FlyingLow@Eve,Lowlands,10,1,6,0,144,144,0
atmosphereAnalysis,FlyingLow@Eve,Midlands,10,1,6,0,144,144,0
atmosphereAnalysis,FlyingLow@Eve,Peaks,10,1,6,0,144,144,0
atmosphereAnalysis,FlyingLow@Eve,Poles,10,1,6,0,144,144,0
atmosphereAnalysis,FlyingHigh@Eve,ExplodiumSea,10,1,6,0,144,144,0
atmosphereAnalysis,FlyingHigh@Eve,Highlands,10,1,6,0,144,144,0
atmosphereAnalysis,FlyingHigh@Eve,ImpactEjecta,10,1,6,0,144,144,0
atmosphereAnalysis,FlyingHigh@Eve,Lowlands,10,1,6,0,144,144,0
atmosphereAnalysis,FlyingHigh@Eve,Midlands,10,1,6,0,144,144,0
atmosphereAnalysis,FlyingHigh@Eve,Peaks,10,1,6,0,144,144,0
atmosphereAnalysis,FlyingHigh@Eve,Poles,10,1,6,0,144,144,0
atmosphereAnalysis,FlyingLow@Jool,Global,10,1,12,0,288,288,0
atmosphereAnalysis,FlyingHigh@Jool,Global,10,1,9,0,216,216,0
atmosphereAnalysis,Landed@KSC,Administration,10,1,0.3,0,7.2,7.2,0
atmosphereAnalysis,Landed@KSC,AstronautComplex,10,0.004629625,0.3,7.166667,7.2,0.0333329999999998,99.54
atmosphereAnalysis,Landed@KSC,Crawlerway,10,0.0007716152,0.3,7.194444,7.2,0.00555600000000034,99.92
atmosphereAnalysis,Landed@KSC,FlagPole,10,0.0007716152,0.3,7.194444,7.2,0.00555600000000034,99.92
atmosphereAnalysis,Landed@KSC,KSC,10,0.0001286136,0.3,7.199074,7.2,0.00092599999999976,99.99
atmosphereAnalysis,Landed@KSC,LaunchPad,10,0.0007716152,0.3,7.194444,7.2,0.00555600000000034,99.92
atmosphereAnalysis,Landed@KSC,MissionControl,10,0.0007716152,0.3,7.194444,7.2,0.00555600000000034,99.92
atmosphereAnalysis,Landed@KSC,R&D,10,0.0007716152,0.3,7.194444,7.2,0.00555600000000034,99.92
atmosphereAnalysis,Landed@KSC,R&DCentralBuilding,10,0.0007716152,0.3,7.194444,7.2,0.00555600000000034,99.92
atmosphereAnalysis,Landed@KSC,R&DCornerLab,10,1,0.3,0,7.2,7.2,0
atmosphereAnalysis,Landed@KSC,R&DMainBuilding,10,1,0.3,0,7.2,7.2,0
atmosphereAnalysis,Landed@KSC,R&DObservatory,10,1,0.3,0,7.2,7.2,0
atmosphereAnalysis,Landed@KSC,R&DSideLab,10,0.02777775,0.3,7,7.2,0.2,97.22
atmosphereAnalysis,Landed@KSC,R&DSmallLab,10,0.0007716152,0.3,7.194444,7.2,0.00555600000000034,99.92
atmosphereAnalysis,Landed@KSC,R&DTanks,10,1,0.3,0,7.2,7.2,0
atmosphereAnalysis,Landed@KSC,R&DWindTunnel,10,1,0.3,0,7.2,7.2,0
atmosphereAnalysis,Landed@KSC,Runway,10,0.0007716152,0.3,7.194444,7.2,0.00555600000000034,99.92
atmosphereAnalysis,Landed@KSC,SPH,10,0.004629625,0.3,7.166667,7.2,0.0333329999999998,99.54
atmosphereAnalysis,Landed@KSC,SPHMainBuilding,10,0.0007716152,0.3,7.194444,7.2,0.00555600000000034,99.92
atmosphereAnalysis,Landed@KSC,SPHRoundTank,10,1,0.3,0,7.2,7.2,0
atmosphereAnalysis,Landed@KSC,SPHTanks,10,1,0.3,0,7.2,7.2,0
atmosphereAnalysis,Landed@KSC,SPHWaterTower,10,1,0.3,0,7.2,7.2,0
atmosphereAnalysis,Landed@KSC,TrackingStation,10,0.0007716152,0.3,7.194444,7.2,0.00555600000000034,99.92
atmosphereAnalysis,Landed@KSC,TrackingStationDishEast,10,1,0.3,0,7.2,7.2,0
atmosphereAnalysis,Landed@KSC,TrackingStationDishNorth,10,1,0.3,0,7.2,7.2,0
atmosphereAnalysis,Landed@KSC,TrackingStationHub,10,0.0007716152,0.3,7.194444,7.2,0.00555600000000034,99.92
atmosphereAnalysis,Landed@KSC,TrackingStationSouth,10,1,0.3,0,7.2,7.2,0
atmosphereAnalysis,Landed@KSC,VAB,10,0.004629625,0.3,7.166667,7.2,0.0333329999999998,99.54
atmosphereAnalysis,Landed@KSC,VABMainBuilding,10,0.004629625,0.3,7.166667,7.2,0.0333329999999998,99.54
atmosphereAnalysis,Landed@KSC,VABPodMemorial,10,1,0.3,0,7.2,7.2,0
atmosphereAnalysis,Landed@KSC,VABRoundTank,10,1,0.3,0,7.2,7.2,0
atmosphereAnalysis,Landed@KSC,VABTanks,10,1,0.3,0,7.2,7.2,0
atmosphereAnalysis,Landed@Kerbin,Badlands,10,1,0.3,0,7.2,7.2,0.00
atmosphereAnalysis,Landed@Kerbin,Deserts,10,1,0.3,0,7.2,7.2,0.00
atmosphereAnalysis,Landed@Kerbin,Grasslands,10,0.0001286136,0.3,7.199074,7.2,0.00092599999999976,99.99
atmosphereAnalysis,Landed@Kerbin,Highlands,10,1,0.3,0,7.2,7.2,0.00
